Longitude,Latitude,Month,pr_ab,x,y
-119.28790599999999,36.349173,4,1,63826.9048128335,-185077.71388660977
-119.251761,36.319883,4,1,67092.30102217742,-188307.5584867075
-119.240108,36.35717800000003,4,1,68103.95517116961,-184154.88686002605
-119.21784400000001,36.38121900000001,4,1,70077.24494957163,-181467.09522373322
-119.215744,36.31955400000002,4,1,70322.0670508197,-188318.00243939273
-119.126583,35.40983299999999,4,1,79247.63976889901,-289312.2365905512
-119.124295,35.37194999999999,4,1,79494.08907790817,-293517.59687346825
-118.940198,35.342417000000005,4,1,96241.95283986321,-296626.7150502447
-118.00162399999999,33.842144,4,1,184974.92438292745,-461725.630194745
-117.94422099999998,34.11876300000003,4,1,189622.1791716991,-430936.77766596945
-117.882302,33.92637199999998,4,1,195809.24030109504,-452146.66073443973
-117.85522800000001,34.12646,4,1,197810.03733189942,-429901.30736068543
-117.73138300000001,33.98831599999998,4,1,209596.70257579337,-444955.17859213986
-117.72260700000001,33.976520000000015,4,1,210438.78404372156,-446243.7796680522
-117.69709299999998,34.05345300000001,4,1,212588.6021683083,-437655.669820304
-117.66508399999998,34.155611,4,1,215263.72896323263,-426254.0141362981
-117.595119,34.13663500000003,4,1,221766.09350740194,-428197.2461938183
-117.54295499999999,33.88909,4,1,227286.9309834263,-455523.2885601483
-117.533105,33.88760199999999,4,1,228202.18536908907,-455664.6049574083
-117.48123700000001,34.16274700000001,4,1,232188.36637355897,-425028.6576392902
-117.43504100000001,33.91525299999997,4,1,237188.5368698775,-452358.2257531006
-117.378086,33.99073299999996,4,1,242222.47778440567,-443845.36276272126
-117.32117399999998,34.15261199999999,4,1,246971.47219241288,-425748.1505229757
-117.243614,34.03943399999999,4,1,254485.04207091974,-438093.1645833128
-117.18433700000001,34.050553000000036,4,1,259919.6090969712,-436699.48624995863
-117.1221922,32.69522150000001,4,1,270213.769957202,-586679.4969189316
-116.97428810000001,32.8669098,4,1,283489.9855766642,-567242.108201596
-116.76028930000001,32.8367223,4,1,303647.03685054294,-569921.2361486955
-115.49727099999998,32.66955299999999,4,1,422827.601477072,-583580.4592596325
-114.63429799999999,32.73923699999999,4,1,503348.7709184184,-571658.7174193556
-119.31361099999998,36.228332999999985,4,1,61620.136711974155,-198522.66352211032
-119.301389,36.296943999999996,4,1,62661.168923753095,-190890.57467056438
-120.442862,36.855304,4,1,-39432.37310846227,-128973.63852845738
-117.54992900000002,34.13460600000004,4,1,225938.1965342669,-428315.54491225677
-119.134237,35.373240000000024,4,1,78590.29752296393,-293382.62453677226
-119.105419,35.39456100000004,4,1,81183.85959029032,-290990.4381620954
-119.06697100000001,35.39716700000002,4,1,84670.089007414,-290667.37058214843
